127.0.0.1 - - [30/May/2024:09:12:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:09:12:50 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [30/May/2024:09:12:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2024:09:13:03 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [30/May/2024:09:21:35 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [30/May/2024:09:21:38 +0900] "GET /Ex03ReqRes/Ex03Redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:21:38 +0900] "GET /Ex03ReqRes/Ex01Request.html HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [30/May/2024:09:22:03 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [30/May/2024:09:22:13 +0900] "POST /Ex03ReqRes/Ex01Result.jsp HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [30/May/2024:09:23:52 +0900] "GET /Ex03ReqRes/Ex01Request.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:23:53 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [30/May/2024:09:23:54 +0900] "GET /Ex03ReqRes/Ex03Redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:24:29 +0900] "GET /Ex03ReqRes/Ex03Redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:28:27 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:28:29 +0900] "GET /Ex03ReqRes/Ex03Redirect.jsp HTTP/1.1" 302 -
